 id ,FullName,City,Phone,Experience,Cost,freeText,Latitude,Longtitude,Rate,countRaters
318177089, John love dogs ,Haifa          ,528468775,3,35, i want to take care Of your dog            ,32.797266,34.99116,4.5,2
318765432, Lior Ziv       ,Jerusalem,546753199,5,44," Boarding house for dogs, a place in nature ",33.7667,34.4455,3,3
319353775,Dina Romi,Tel-Aviv,525037623,6,60,loves animals,32.077233,34.778521,4.5,10
319942118,Yarrden David,Beer-Sheva,503322047,12,33,"Works as a dogwalker, dogsitter. Has a great love for living.",31.26319,34.791393,2,1
320530461,Shiran Noam,Haifa          ,521606471,20,45,"Ever since I can remember, from a young age, I have discovered my love for living.",32.798366,34.982311,1.2,6
321118804,Shacher Alpem,Haifa          ,549890895,5,76,"I really like all types of animals, especially dogs. I took a dog training course",32.820519,34.965339,4,9
321707147,Mosha Shani,Tel-Aviv,528175319,7,33,Loves animals and pets in particular. I grew up in my parents' house with two dogs,32.076669,34.770005,3,12
322295490,Matan Ziv,Beer-Sheva,506459743,8,54,Is your dog looking for love?? You have come to the right place,31.26824,34.772462,5,1
322883833,Sefi Ben Natan,Jerusalem,524744167,11,65,"I would love to walk with your dog, I love animals very much",31.753042,35.020996,4,15
323472176,Amit Chom,Tel-Aviv,523028591,6,54,"She has a crazy love for animals, especially dogs",32.067072,34.765653,5,2
